date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:43:53	81077/81077	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2020:43:53%20GMT	https://app.iosgods.com/store/apps	C:/My%20Web%20Sites/apps/app.iosgods.com/store/apps.html	(from )
03:43:54	96/96	---MCZ	200	added ('OK')	text/plain	etag:W/%225cd9f93a-50%22	https://app.iosgods.com/robots.txt		(from )
03:43:54	4376/4376	---M--	200	added ('OK')	image/png	etag:%225cd9f938-257a%22	https://app.iosgods.com/favicon.png	C:/My%20Web%20Sites/apps/app.iosgods.com/favicon.png	(from https://app.iosgods.com/store/apps)
03:43:54	6770/6770	---M--	200	added ('OK')	image/png	etag:%225cd9f938-2094%22	https://app.iosgods.com/apple-touch-icon.png	C:/My%20Web%20Sites/apps/app.iosgods.com/apple-touch-icon.png	(from https://app.iosgods.com/store/apps)
03:43:54	1510/1510	---M--	200	added ('OK')	image/png	etag:%225cd9f938-754%22	https://app.iosgods.com/favicon-32x32.png	C:/My%20Web%20Sites/apps/app.iosgods.com/favicon-32x32.png	(from https://app.iosgods.com/store/apps)
03:43:54	765/765	---M--	200	added ('OK')	image/png	etag:%225cd9f938-439%22	https://app.iosgods.com/favicon-16x16.png	C:/My%20Web%20Sites/apps/app.iosgods.com/favicon-16x16.png	(from https://app.iosgods.com/store/apps)
03:43:55	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225cda7b54-7918%22	https://app.iosgods.com/store/lib/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/apps/app.iosgods.com/store/lib/font-awesome/css/font-awesome.min.css	(from https://app.iosgods.com/store/apps)
03:43:55	351726/351726	---MCZ	200	added ('OK')	text/css	etag:W/%225dccbade-55dee%22	https://app.iosgods.com/store/css/framework7.bundle.min.css	C:/My%20Web%20Sites/apps/app.iosgods.com/store/css/framework7.bundle.min.css	(from https://app.iosgods.com/store/apps)
03:43:55	25031/25031	---MCZ	200	added ('OK')	text/css	etag:W/%2260cfd177-61c7%22	https://app.iosgods.com/store/css/app.min.css?id=6771cdf7f9f1d72248de	C:/My%20Web%20Sites/apps/app.iosgods.com/store/css/app.min78a8.css	(from https://app.iosgods.com/store/apps)
03:43:56	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:43:56%20GMT	https://app.iosgods.com/store/img/splashscreens/iphone5_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/iphone5_splash.png	(from https://app.iosgods.com/store/apps)
03:43:57	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:43:57%20GMT	https://app.iosgods.com/store/img/splashscreens/iphone6_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/iphone6_splash.png	(from https://app.iosgods.com/store/apps)
03:43:57	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:43:58%20GMT	https://app.iosgods.com/store/img/splashscreens/iphoneplus_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/iphoneplus_splash.png	(from https://app.iosgods.com/store/apps)
03:43:58	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:43:59%20GMT	https://app.iosgods.com/store/img/splashscreens/iphonex_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/iphonex_splash.png	(from https://app.iosgods.com/store/apps)
03:43:59	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:43:59%20GMT	https://app.iosgods.com/store/img/splashscreens/iphonexr_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/iphonexr_splash.png	(from https://app.iosgods.com/store/apps)
03:43:59	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:44:00%20GMT	https://app.iosgods.com/store/img/splashscreens/iphonexsmax_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/iphonexsmax_splash.png	(from https://app.iosgods.com/store/apps)
03:44:00	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:44:00%20GMT	https://app.iosgods.com/store/img/splashscreens/ipad_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/ipad_splash.png	(from https://app.iosgods.com/store/apps)
03:44:00	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:44:01%20GMT	https://app.iosgods.com/store/img/splashscreens/ipadpro1_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/ipadpro1_splash.png	(from https://app.iosgods.com/store/apps)
03:44:01	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:44:02%20GMT	https://app.iosgods.com/store/img/splashscreens/ipadpro3_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/ipadpro3_splash.png	(from https://app.iosgods.com/store/apps)
03:44:02	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:44:02%20GMT	https://app.iosgods.com/store/img/splashscreens/ipadpro2_splash.png	C:/My%20Web%20Sites/apps/app.iosgods.com/store/img/splashscreens/ipadpro2_splash.png	(from https://app.iosgods.com/store/apps)
03:44:02	850/850	---MC-	200	added ('OK')	text/javascript	date:Thu,%2017%20Nov%202022%2020:44:02%20GMT	https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/apps/www.google.com/recaptcha/api.js	(from https://app.iosgods.com/store/apps)
03:44:02	12066/12066	---M--	200	added ('OK')	text/javascript	date:Wed,%2016%20Oct%202019%2019:09:14%20GMT	https://www.gstatic.com/firebasejs/7.2.1/firebase-app.js	C:/My%20Web%20Sites/apps/www.gstatic.com/firebasejs/7.2.1/firebase-app.js	(from https://app.iosgods.com/store/apps)
03:44:03	21273/21273	---M--	200	added ('OK')	text/javascript	date:Wed,%2016%20Oct%202019%2019:09:12%20GMT	https://www.gstatic.com/firebasejs/7.2.1/firebase-analytics.js	C:/My%20Web%20Sites/apps/www.gstatic.com/firebasejs/7.2.1/firebase-analytics.js	(from https://app.iosgods.com/store/apps)
03:44:04	1916/1916	---MC-	302	error ('Found')	text/html	date:Thu,%2017%20Nov%202022%2020:44:04%20GMT	https://app.iosgods.com/store/oauthlogin	C:/My%20Web%20Sites/apps/app.iosgods.com/store/oauthlogin	(from https://app.iosgods.com/store/apps)
03:44:04	2493/2493	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Sep%202022%2006:34:54%20GMT	https://is3-ssl.mzstatic.com/image/thumb/Purple122/v4/ff/c4/c2/ffc4c293-b39d-246e-c360-1b5325ce1769/AppIcon-1x_U007emarketing-0-7-0-85-220.png/100x100bb.jpg	C:/My%20Web%20Sites/apps/is3-ssl.mzstatic.com/image/thumb/Purple122/v4/ff/c4/c2/ffc4c293-b39d-246e-c360-1b5325ce1769/AppIcon-1x_U007emarketing-0-7-0-85-220.png/100x100bb.jpg	(from https://app.iosgods.com/store/apps)
