date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:29:01	96/96	---MCZ	200	added ('OK')	text/plain	etag:W/%225cd9f93a-50%22	https://app.iosgods.com/robots.txt		(from )
03:29:02	86427/86427	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2020:29:02%20GMT	https://app.iosgods.com/store/	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/index.html	(from )
03:29:02	86429/86429	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2020:29:03%20GMT	https://app.iosgods.com/store/games	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/games.html	(from https://app.iosgods.com/store/)
03:29:02	4376/4376	---M--	200	added ('OK')	image/png	etag:%225cd9f938-257a%22	https://app.iosgods.com/favicon.png	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/favicon.png	(from https://app.iosgods.com/store/)
03:29:03	6770/6770	---M--	200	added ('OK')	image/png	etag:%225cd9f938-2094%22	https://app.iosgods.com/apple-touch-icon.png	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/apple-touch-icon.png	(from https://app.iosgods.com/store/)
03:29:03	1510/1510	---M--	200	added ('OK')	image/png	etag:%225cd9f938-754%22	https://app.iosgods.com/favicon-32x32.png	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/favicon-32x32.png	(from https://app.iosgods.com/store/)
03:29:03	765/765	---M--	200	added ('OK')	image/png	etag:%225cd9f938-439%22	https://app.iosgods.com/favicon-16x16.png	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/favicon-16x16.png	(from https://app.iosgods.com/store/)
03:29:03	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225cda7b54-7918%22	https://app.iosgods.com/store/lib/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/lib/font-awesome/css/font-awesome.min.css	(from https://app.iosgods.com/store/)
03:29:04	351726/351726	---MCZ	200	added ('OK')	text/css	etag:W/%225dccbade-55dee%22	https://app.iosgods.com/store/css/framework7.bundle.min.css	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/css/framework7.bundle.min.css	(from https://app.iosgods.com/store/)
03:29:04	25031/25031	---MCZ	200	added ('OK')	text/css	etag:W/%2260cfd177-61c7%22	https://app.iosgods.com/store/css/app.min.css?id=6771cdf7f9f1d72248de	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/css/app.min78a8.css	(from https://app.iosgods.com/store/)
03:29:06	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:29:06%20GMT	https://app.iosgods.com/store/img/splashscreens/iphone5_splash.png	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/img/splashscreens/iphone5_splash.png	(from https://app.iosgods.com/store/)
03:29:07	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:29:07%20GMT	https://app.iosgods.com/store/img/splashscreens/iphone6_splash.png	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/img/splashscreens/iphone6_splash.png	(from https://app.iosgods.com/store/)
03:29:07	10166/10166	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2017%20Nov%202022%2020:29:08%20GMT	https://app.iosgods.com/store/img/splashscreens/iphoneplus_splash.png	C:/My%20Web%20Sites/app%20jb/app.iosgods.com/store/img/splashscreens/iphoneplus_splash.png	(from https://app.iosgods.com/store/)
